央视频道,#genre#
CCTV4K超高清,http://47.97.252.137:8094/daili/cctv4k.m3u8?line=0
CCTV4K超高清,http://47.97.252.137:8094/daili/cctv4k.m3u8?line=1
CCTV4K超高清,http://47.97.252.137:8094/tvlive/cctv4k.m3u8?node=4
CCTV4K超高清,http://47.97.252.137:8094/tvlive/cctv4k.m3u8?node=6
CCTV4K超高清,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=tvzb260306
CCTV-10科教,http://204.12.221.218:8181/3m1080p/cctv10.m3u8
CCTV-1综合,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
CCTV-13新闻,http://204.12.221.218:8181/3m1080p/cctv13.m3u8
CCTV-5体育,http://204.12.221.218:8181/3m1080p/cctv5.m3u8
CCTV-6电影,http://204.12.221.218:8181/3m1080p/cctv6.m3u8
CCTV-17农业农村,http://204.12.221.218:8181/3m1080p/cctv17.m3u8
CCTV-7国防军事,http://204.12.221.218:8181/3m1080p/cctv7.m3u8
CCTV-3综艺,http://204.12.221.218:8181/3m1080p/cctv3.m3u8
CCTV-14少儿,http://204.12.221.218:8181/3m1080p/cctv14.m3u8
CCTV-2财经,http://204.12.221.218:8181/3m1080p/cctv2.m3u8
CCTV-12社会与法,http://204.12.221.218:8181/3m1080p/cctv12.m3u8
CCTV-9纪录,http://204.12.221.218:8181/3m1080p/cctv9.m3u8
CCTV-4中文国际,http://204.12.221.218:8181/3m1080p/cctv4.m3u8
CCTV-15音乐,http://204.12.221.218:8181/3m1080p/cctv15.m3u8
CCTV-8电视剧,http://204.12.221.218:8181/3m1080p/cctv8.m3u8
CCTV-11戏曲,http://204.12.221.218:8181/3m1080p/cctv11.m3u8
CCTV-16奥林匹克,http://204.12.221.218:8181/3m1080p/cctv16.m3u8
CCTV-6电影,http://204.12.221.218:8181/3m1080p/cctv6.m3u8
CCTV-16奥林匹克,http://204.12.221.218:8181/3m1080p/cctv16.m3u8
东方卫视,http://204.12.221.218:8181/3m1080p/dfws.m3u8
CCTV-17农业农村,http://204.12.221.218:8181/3m1080p/cctv17.m3u8
天津卫视,http://204.12.221.218:8181/3m1080p/tjws.m3u8
贵州卫视,http://204.12.221.218:8181/3m1080p/gzws.m3u8
吉林卫视,http://204.12.221.218:8181/3m1080p/jlws.m3u8
深圳卫视,http://204.12.221.218:8181/3m1080p/szws.m3u8
CCTV-13新闻,http://204.12.221.218:8181/3m1080p/cctv13.m3u8
CCTV-7国防军事,http://204.12.221.218:8181/3m1080p/cctv7.m3u8
CCTV-15音乐,http://204.12.221.218:8181/3m1080p/cctv15.m3u8
CCTV-12社会与法,http://204.12.221.218:8181/3m1080p/cctv12.m3u8
CCTV-8电视剧,http://204.12.221.218:8181/3m1080p/cctv8.m3u8
CCTV-4中文国际,http://204.12.221.218:8181/3m1080p/cctv4.m3u8
黑龙江卫视,http://204.12.221.218:8181/3m1080p/hljws.m3u8
延边卫视,http://204.12.221.218:8181/3m1080p/ybws.m3u8
江苏卫视,http://204.12.221.218:8181/3m1080p/jsws.m3u8
重庆卫视,http://204.12.221.218:8181/3m1080p/cqws.m3u8
新疆卫视,http://204.12.221.218:8181/3m1080p/xjws.m3u8
西藏卫视,http://204.12.221.218:8181/3m1080p/xzws.m3u8
海南卫视,http://204.12.221.218:8181/3m1080p/lyws.m3u8
云南卫视,http://204.12.221.218:8181/3m1080p/ynws.m3u8
内蒙古卫视,http://204.12.221.218:8181/3m1080p/nmgws.m3u8
安徽卫视,http://204.12.221.218:8181/3m1080p/ahws.m3u8
辽宁卫视,http://204.12.221.218:8181/3m1080p/lnws.m3u8
宁夏卫视,http://204.12.221.218:8181/3m1080p/nxws.m3u8
兵团卫视,http://204.12.221.218:8181/3m1080p/btws.m3u8
